order_id,customer_id,product_name,quantity,unit_price,order_date
1021,C004,Mechanical Keyboard,1,129.99,2024-04-02
1022,C011,External SSD 1TB,2,109.99,2024-04-07
1023,C008,Blue Light Glasses,1,24.99,2024-04-10
1024,C005,Portable Charger,3,39.99,2024-04-14
1025,C012,LED Desk Lamp,1,54.99,2024-04-18
1026,C001,Ergonomic Chair Cushion,2,69.99,2024-04-23
1027,C009,Cable Management Kit,2,19.99,2024-04-29
1028,C013,Desk Mat Large,1,44.99,2024-05-03
1029,C006,USB-C Hub,1,79.99,2024-05-08
1030,C002,Wireless Mouse,2,34.99,2024-05-12
1031,C010,Webcam HD,1,89.99,2024-05-16
1032,C014,Laptop Stand,2,59.99,2024-05-21
1033,C007,Monitor Stand,1,39.99,2024-05-27
1034,C003,Wireless Keyboard,2,49.99,2024-05-30
1035,C011,Noise Cancelling Headphones,1,199.99,2024-06-04
1036,C015,USB-C Hub,1,79.99,2024-06-10
1037,C004,External SSD 1TB,1,109.99,2024-06-14
1038,C012,Ergonomic Chair Cushion,1,69.99,2024-06-18
1039,C008,Portable Charger,2,39.99,2024-06-24
1040,C001,Mechanical Keyboard,1,129.99,2024-06-28
